track_id,track_name,album_name,artist_name,release_date,duration_ms,popularity,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7eqoqGkKwgOaWNNHx90uEZ,Nights,Blonde,Frank Ocean,2016-08-20,307151,81,,Boys Don't Cry,0.457,0.551,5,-9.36,0,0.167,0.427,0.00000115,0.113,0.428,89.87,4
1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,(What's The Story) Morning Glory?,Oasis,1995-10-02,258906,73,"britpop,madchester,rock",Big Brother Recordings Ltd,0.41,0.854,2,-5.609,1,0.0366,0.00236,0,0.133,0.456,174.584,4
4pjFNyjGaoKgLTnndISP6V,Color Your Night,Persona 3 Reload Original Soundtrack,"Lotus Juice,高橋あず美,ATLUS Sound Team,ATLUS GAME MUSIC",2024-04-24,227240,68,"japanese vgm,soundtrack",ATLUS GAME MUSIC,0.666,0.758,1,-9.355,1,0.0303,0.34,0.0159,0.188,0.933,95.028,4
3CcvahnsiArpTHYQEWV2Au,Bring Em Out,Urban Legend,T.I.,2004-11-28,216706,64,southern hip hop,"Grand Hustle, LLC",0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,4
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,It's ok I'm ok,Tate McRae,2024-09-12,156521,80,,RCA Records Label,0.754,0.514,1,-7.721,0,0.0471,0.0257,0.0000398,0.0808,0.363,114.997,4
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,208760,81,modern rock,RCA Records Label,0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
7cFwopK7QTOgaEwF9JgipA,Second Nature,Charm,Clairo,2024-07-12,227409,69,bedroom pop,Clairo,0.762,0.379,2,-8.847,1,0.0338,0.446,0.093,0.189,0.561,78.505,4
65yNr1EO2TOBEYCz45tuOf,It Has To Be This Way - Platinum Mix,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,Jimmy Gnecco,2013-02-20,175506,61,,Konami Digital Entertainment,0.435,0.975,9,-4.361,0,0.0546,0.000946,0.071,0.176,0.322,102.48,4
7w4C3Y9lAu1IPSBcWRIHTM,Rain Tree Sketch,Takemitsu: Piano Works,"Toru Takemitsu,Roger Woodward",2002-06-01,366666,3,"japanese classical,classical piano,avant-garde",ABC Classic,0.507,0.0112,9,-26.899,1,0.0689,0.989,0.918,0.0839,0.0399,97.278,3
6UFivO2zqqPFPoQYsEMuCc,Bags,Immunity,Clairo,2019-08-02,260519,80,bedroom pop,FADER Label,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
37kTASujIfZZ27NV7PfIrf,Hard to Concentrate,Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,241840,58,"funk rock,alternative rock,rock",Warner Records,0.641,0.502,7,-7.334,1,0.0251,0.156,0.00000435,0.311,0.326,105.634,4
65krtHkaYLPr0mEbjL61UP,Kiss of Life,The Best of Sade,Sade,1994-10-31,251333,77,,Epic,0.723,0.47,6,-11.302,0,0.028,0.633,0.0373,0.0968,0.783,97.107,4
6INSqTqDoz6ndc0oKTi0Sq,IZ-US,Come To Daddy,Aphex Twin,1997-10-06,177266,54,"idm,ambient,electronica",Warp Records,0.581,0.459,3,-14.519,0,0.0314,0.0398,0.881,0.151,0.316,119.042,4
5BtyHl1eRqip2PkHhFYzHG,Westside,Listen,The Kooks,2014-01-01,210193,53,"indie,indie rock",Virgin Records Ltd,0.767,0.663,9,-4.988,0,0.0333,0.252,0.0000241,0.106,0.821,112.017,4
4l62h4tiuUwn7eD6hxMlVQ,It's Everyday Bro,It's Everyday Bro,"Jake Paul,Team 10",2017-05-30,217678,45,,Team 10,0.79,0.714,1,-7.86,0,0.202,0.00142,0,0.111,0.559,150.033,5
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,Hot Fuss,The Killers,1905-06-26,222973,88,alternative rock,Island Records,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,21,Adele,2011-01-24,228093,79,soft pop,XL Recordings,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
5iJKGpnFfvbjZJeAtwXfCj,28,The Great American Bar Scene,Zach Bryan,2024-07-04,233333,81,"country,red dirt",Warner Records,0.492,0.519,7,-6.886,1,0.0288,0.227,0.0000847,0.0693,0.435,80.868,3
2p18r1QWKY5jcbZhKYJTZ6,ESKELETO,ESKELETO,"SAIKO,Bryant Myers",2024-04-25,279893,61,"trap latino,reggaeton,trap,urbano latino,dembow",2024 SAIKONETA,0.733,0.736,0,-3.75,0,0.0458,0.206,0,0.0974,0.227,120.029,4
2FMO2IFR4cJSe5D4BlpDV8,Cancel Me,What Could Possibly Go Wrong,Dominic Fike,2020-07-31,137241,50,,Columbia,0.665,0.874,8,-2.241,1,0.323,0.466,0.00000365,0.082,0.761,169.896,4
1OMmOKi0ay6FNVsqSjWKkf,Bleach,Bleach,Drain Gang Archive,2022-03-12,144079,45,cloud rap,Drain Gang Archive,0.536,0.526,4,-9.718,1,0.0405,0.0232,0.05,0.082,0.288,123.696,4
2JTBNz8VZx7i38pcPROWuz,Kansas City,Lost On The River (Deluxe),The New Basement Tapes,2014-08-19,244426,59,roots rock,Electro Magnetic-Harvest,0.54,0.62,0,-8.147,1,0.0415,0.115,0.0123,0.12,0.354,163.762,4
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-22,258034,88,,Chappell Roan PS/ Island,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
